"customer_id","lifetime_sales","lifetime_profit","customer_tier"
RB-96451,147,10.29,Silver (Low Margin)
DB-129702,5520,133.959,Silver (Low Margin)
KF-162853,1070,395.032,Silver (Low Margin)
DH-130753,2978,160.892,Silver (Low Margin)
KB-166001,5897,365.4267,Silver (Low Margin)
BS-18001,4163,235.074,Silver (Low Margin)
EB-137501,1120,237.378,Silver (Low Margin)
DB-29701,181,30.57,Silver (Low Margin)
RD-196601,4068,1298.3901,Gold (Profitable)
DB-133601,2322,8.2668,Silver (Low Margin)
FW-143952,2878,616.995,Silver (Low Margin)
MA-175604,4300,1240.2266,Gold (Profitable)
HD-47852,14,5.52,Silver (Low Margin)
DS-130304,1762,193.3319,Silver (Low Margin)
AP-107203,2919,695.2546,Silver (Low Margin)
LW-69901,172,18.57,Silver (Low Margin)
CA-120553,2248,388.914,Silver (Low Margin)
DB-132701,2386,143.0700,Silver (Low Margin)
RF-193454,3310,633.7072,Silver (Low Margin)
SB-202901,5101,-536.0382,Red (Loss Making)
ES-140804,4657,246.6661,Silver (Low Margin)
Dl-36002,1815,29.490,Silver (Low Margin)
KD-166151,1042,270.585,Silver (Low Margin)
AG-104953,2110,320.30956,Silver (Low Margin)
KN-164501,8187,1638.1341,Gold (Profitable)
CS-124903,5698,-206.592,Red (Loss Making)
KB-166004,984,293.5524,Silver (Low Margin)
FM-142903,5888,1322.68532,Gold (Profitable)
DK-28352,1542,18.852,Silver (Low Margin)
VP-217304,994,205.3888,Silver (Low Margin)
KB-165853,926,-61.236,Red (Loss Making)
LO-71702,933,-955.305,Red (Loss Making)
BM-16503,2180,372.954,Silver (Low Margin)
BF-111703,3179,368.94324,Silver (Low Margin)
MK-79053,712,143.832,Silver (Low Margin)
PO-191804,4893,1155.4331,Gold (Profitable)
JK-153251,10908,1686.6030,Gold (Profitable)
KB-65851,217,-47.19,Red (Loss Making)
CK-123254,2946,261.2209,Silver (Low Margin)
BF-109754,600,227.4384,Silver (Low Margin)
VG-218053,4084,1206.84136,Gold (Profitable)
SP-206504,1873,268.4782,Silver (Low Margin)
JM-152651,8818,1206.7197,Gold (Profitable)
HR-148304,5251,1196.9504,Gold (Profitable)
VP-217601,5503,682.1805,Silver (Low Margin)
AC-6151,1706,-438.858,Red (Loss Making)
AB-601,1483,685.998,Silver (Low Margin)
RS-197652,3669,1077.102,Gold (Profitable)
FG-142604,1383,394.7397,Silver (Low Margin)
SC-202601,2826,243.0294,Silver (Low Margin)
MF-82501,25,1.5,Silver (Low Margin)
BT-113053,2443,-2.886,Red (Loss Making)
EM-141401,10563,1930.6089,Gold (Profitable)
EM-42002,663,73.968,Silver (Low Margin)
JG-153104,2241,3.7976,Silver (Low Margin)
SC-100502,819,126.354,Silver (Low Margin)
RH-95102,1252,33.900,Silver (Low Margin)
PL-89252,498,125.67,Silver (Low Margin)
BP-111853,2919,-250.10708,Red (Loss Making)
NB-185803,1886,-209.9396,Red (Loss Making)
NM-84452,18,5.25,Silver (Low Margin)
GM-144553,304,26.816,Silver (Low Margin)
FA-142302,7077,309.5055,Silver (Low Margin)
MH-176204,1253,122.3612,Silver (Low Margin)
HR-147703,1869,-232.028,Red (Loss Making)
TH-211153,3269,430.99168,Silver (Low Margin)
MT-80701,4827,-471.984,Red (Loss Making)
MP-181753,2096,576.496,Silver (Low Margin)
SN-107101,192,-50.256,Red (Loss Making)
KF-162851,2166,500.6715,Silver (Low Margin)
SS-101402,7,2.52,Silver (Low Margin)
GH-44852,449,67.38,Silver (Low Margin)
KD-166152,6685,730.5255,Silver (Low Margin)
AH-301,5072,-576.624,Red (Loss Making)
KN-63902,201,36.33,Silver (Low Margin)
LS-69752,451,100.74,Silver (Low Margin)
DR-128803,2664,415.0788,Silver (Low Margin)
SM-109501,114,39.03,Silver (Low Margin)
RM-196752,3011,340.482,Silver (Low Margin)
TB-113552,128,9.93,Silver (Low Margin)
TC-214754,1245,119.1040,Silver (Low Margin)
MY-82952,1081,-480.126,Red (Loss Making)
KH-166902,4761,543.126,Silver (Low Margin)
JG-158053,1544,284.788,Silver (Low Margin)
PA-190602,1921,347.70,Silver (Low Margin)
JS-59402,17,4.11,Silver (Low Margin)
DJ-35101,2406,846.51,Silver (Low Margin)
BF-110201,1704,416.4888,Silver (Low Margin)
DK-28351,1830,266.811,Silver (Low Margin)
FM-42901,327,21.330,Silver (Low Margin)
BV-12451,685,-595.296,Red (Loss Making)
PO-91802,88,21.84,Silver (Low Margin)
TT-214603,2189,172.09216,Silver (Low Margin)
PB-92101,270,-244.389,Red (Loss Making)
CA-19651,435,-51.861,Red (Loss Making)
CP-120851,3889,357.1749,Silver (Low Margin)
HJ-148751,8541,885.7407,Silver (Low Margin)
Dp-32403,98,39.36,Silver (Low Margin)
DM-33451,334,-96.93,Red (Loss Making)
JG-153101,5932,1378.1979,Gold (Profitable)
NM-84451,191,26.40,Silver (Low Margin)
KS-63002,109,5.46,Silver (Low Margin)
RW-196301,3001,839.4468,Silver (Low Margin)
SH-199751,3622,553.5918,Silver (Low Margin)
AS-102251,9773,1572.6507,Gold (Profitable)
CV-28051,3070,930.924,Silver (Low Margin)
TC-211451,8279,499.8429,Silver (Low Margin)
SJ-101252,23,4.20,Silver (Low Margin)
NC-186252,2018,219.8175,Silver (Low Margin)
SZ-200352,57,-47.52,Red (Loss Making)
BT-114854,415,126.8694,Silver (Low Margin)
MR-175451,4797,971.7588,Silver (Low Margin)
MG-178904,777,171.7372,Silver (Low Margin)
JG-153103,1234,386.76,Silver (Low Margin)
AB-102554,914,264.5675,Silver (Low Margin)
BP-111852,4348,587.760,Silver (Low Margin)
MA-79953,240,-245.874,Red (Loss Making)
EM-142003,5438,590.73816,Silver (Low Margin)
VG-218051,15654,2748.1878,Gold (Profitable)
KB-165851,8274,551.805,Silver (Low Margin)
FM-42152,941,79.434,Silver (Low Margin)
BP-110951,900,-156.9684,Red (Loss Making)
PA-190603,2808,70.76056,Silver (Low Margin)
SS-105151,373,116.16,Silver (Low Margin)
DR-129402,4652,793.1895,Silver (Low Margin)
VM-216852,4589,-2458.938,Red (Loss Making)
LC-169602,3477,830.094,Silver (Low Margin)
RB-196451,2377,306.8154,Silver (Low Margin)
JE-156103,540,61.382,Silver (Low Margin)
MR-75452,363,75.78,Silver (Low Margin)
CR-26253,3763,596.166,Silver (Low Margin)
RS-194202,5093,570.018,Silver (Low Margin)
FC-142454,3419,1217.1662,Gold (Profitable)
TP-215653,2821,619.640,Silver (Low Margin)
TS-214303,1813,475.672,Silver (Low Margin)
BB-109903,1790,251.016,Silver (Low Margin)
MH-172904,2393,28.7612,Silver (Low Margin)
CP-120852,1632,202.443,Silver (Low Margin)
HW-149351,3557,-245.5110,Red (Loss Making)
HE-48001,227,-61.728,Red (Loss Making)
MP-179652,6431,196.716,Silver (Low Margin)
JP-161352,2948,606.933,Silver (Low Margin)
DW-134802,3412,979.266,Silver (Low Margin)
KM-63751,1355,16.239,Silver (Low Margin)
DV-130452,2210,247.332,Silver (Low Margin)
AJ-107803,601,69.272,Silver (Low Margin)
SG-208902,3806,490.020,Silver (Low Margin)
BM-16501,341,79.212,Silver (Low Margin)
BS-115902,4036,519.5145,Silver (Low Margin)
KC-166752,7362,1941.867,Gold (Profitable)
BC-111254,2934,251.5974,Silver (Low Margin)
PV-189854,2875,434.5284,Silver (Low Margin)
KC-66751,19,3.18,Silver (Low Margin)
SJ-201252,3671,475.296,Silver (Low Margin)
SM-103201,3993,698.394,Silver (Low Margin)
SC-106952,133,-193.128,Red (Loss Making)
PS-189703,6286,1575.22632,Gold (Profitable)
NC-185354,8240,1314.7580,Gold (Profitable)
TC-114751,448,81.75,Silver (Low Margin)
PH-87902,1570,347.01,Silver (Low Margin)
MG-178751,4374,176.6466,Silver (Low Margin)
BS-118004,950,194.0516,Silver (Low Margin)
DJ-134202,11158,1245.522,Gold (Profitable)
ML-180404,742,138.7162,Silver (Low Margin)
PA-90602,448,10.950,Silver (Low Margin)
CA-119651,11653,3220.0506,Platinum (High Value)
PW-190303,2237,332.12536,Silver (Low Margin)
JJ-157601,7400,1166.139,Gold (Profitable)
VM-116851,58,24.09,Silver (Low Margin)
AR-103451,4462,1030.9062,Gold (Profitable)
TC-115351,1810,-1550.208,Red (Loss Making)
KB-164052,5858,-390.8505,Red (Loss Making)
RB-194652,1190,294.165,Silver (Low Margin)
TZ-214453,7853,-654.89660,Red (Loss Making)
MC-176051,2942,-243.6015,Red (Loss Making)
SN-105603,312,77.958,Silver (Low Margin)
RW-195403,1134,295.216,Silver (Low Margin)
RW-195401,6351,922.728,Silver (Low Margin)
PC-190004,1062,-184.3364,Red (Loss Making)
RH-95101,585,-170.232,Red (Loss Making)
EH-141253,2760,446.52012,Silver (Low Margin)
AS-102851,6388,835.566,Silver (Low Margin)
MT-180704,1321,-23.6763,Red (Loss Making)
YS-218803,4573,797.452,Silver (Low Margin)
SF-209652,888,155.334,Silver (Low Margin)
BM-116503,3497,995.48908,Silver (Low Margin)
SM-103202,53,-24.426,Red (Loss Making)
TN-210404,3129,-692.0452,Red (Loss Making)
RP-198552,4063,409.0485,Silver (Low Margin)
TC-209803,5492,-368.152,Red (Loss Making)
BS-13651,807,258.87,Silver (Low Margin)
MZ-173354,594,85.0191,Silver (Low Margin)
LS-72001,341,-102.474,Red (Loss Making)
MF-182502,9618,1444.281,Gold (Profitable)
BP-11852,850,-633.840,Red (Loss Making)
DP-131051,11883,2220.339,Gold (Profitable)
KH-163304,3313,454.7871,Silver (Low Margin)
RW-196302,1349,106.5255,Silver (Low Margin)
NL-183102,1732,-1898.706,Red (Loss Making)
CC-124303,5878,1141.05156,Gold (Profitable)
MH-172901,3762,655.2507,Silver (Low Margin)
JR-62102,169,8.4,Silver (Low Margin)
PC-187452,1448,346.992,Silver (Low Margin)
TT-214601,4064,353.5743,Silver (Low Margin)
NZ-85651,329,-166.566,Red (Loss Making)
BS-118003,2224,352.108,Silver (Low Margin)
NL-183104,1420,343.6381,Silver (Low Margin)
JS-159404,471,-327.9336,Red (Loss Making)
SH-99752,7537,1199.25,Gold (Profitable)
PH-187902,408,169.083,Silver (Low Margin)
CB-25352,32,-37.242,Red (Loss Making)
MH-174404,400,61.4286,Silver (Low Margin)
DW-131951,7327,1517.2821,Gold (Profitable)
PS-89701,57,16.74,Silver (Low Margin)
CA-123102,2734,-32.5710,Red (Loss Making)
TT-112651,2618,829.86,Silver (Low Margin)
RS-94203,42,1.68,Silver (Low Margin)
Dp-132403,4201,1068.16432,Gold (Profitable)
BF-10051,699,250.02,Silver (Low Margin)
JK-161204,2933,122.6566,Silver (Low Margin)
JE-161653,513,15.23236,Silver (Low Margin)
DA-134502,2972,-945.204,Red (Loss Making)
EM-40953,881,-255.120,Red (Loss Making)
NZ-185652,5475,1002.744,Gold (Profitable)
NF-185953,4287,556.65152,Silver (Low Margin)
AH-101204,1736,-2.3146,Red (Loss Making)
CY-127453,4118,58.8472,Silver (Low Margin)
MK-179053,3269,-582.576,Red (Loss Making)
AM-103604,813,194.9878,Silver (Low Margin)
DP-133901,1889,-36.1833,Red (Loss Making)
TB-211752,4662,783.537,Silver (Low Margin)
KN-163901,6633,871.2141,Silver (Low Margin)
KB-164051,6075,982.7160,Silver (Low Margin)
SC-202603,1205,-52.82,Red (Loss Making)
JK-56401,164,39.39,Silver (Low Margin)
AG-103004,367,59.2884,Silver (Low Margin)
CM-126552,4740,-1765.3635,Red (Loss Making)
KN-163902,7376,2729.577,Gold (Profitable)
AB-102553,4644,309.376,Silver (Low Margin)
AB-102552,949,262.755,Silver (Low Margin)
CP-120853,3262,-366.260,Red (Loss Making)
TH-115501,181,-49.68,Red (Loss Making)
EH-137652,3774,-608.994,Red (Loss Making)
KD-164952,5900,1496.4675,Gold (Profitable)
JK-161202,894,271.98,Silver (Low Margin)
CD-127902,10120,1290.3645,Gold (Profitable)
MG-176801,9028,1144.6821,Gold (Profitable)
GR-45601,4473,-376.203,Red (Loss Making)
LA-67802,3030,59.670,Silver (Low Margin)
SC-204404,1875,379.5611,Silver (Low Margin)
JK-61203,1014,50.52,Silver (Low Margin)
EM-142002,3557,858.03,Silver (Low Margin)
CM-18302,1716,78.270,Silver (Low Margin)
AS-102854,3215,354.6276,Silver (Low Margin)
NB-85802,100,32.94,Silver (Low Margin)
AC-104203,4561,-655.412,Red (Loss Making)
RP-198551,3516,-176.7981,Red (Loss Making)
CP-123402,2537,376.500,Silver (Low Margin)
EM-142001,7725,1667.7975,Gold (Profitable)
AS-2852,2881,223.11,Silver (Low Margin)
AR-8252,324,-28.974,Red (Loss Making)
DM-29553,1420,228.819,Silver (Low Margin)
TH-115502,93,24.06,Silver (Low Margin)
BS-13652,152,29.31,Silver (Low Margin)
AY-5551,660,1.872,Silver (Low Margin)
GD-145902,5870,132.0285,Silver (Low Margin)
YC-118951,97,7.869,Silver (Low Margin)
TZ-114451,158,47.73,Silver (Low Margin)
JL-151754,1571,209.2817,Silver (Low Margin)
PN-187751,5619,1148.9025,Gold (Profitable)
JS-156852,1746,478.371,Silver (Low Margin)
AS-106303,80,22.26,Silver (Low Margin)
MH-81151,942,196.98,Silver (Low Margin)
LC-69602,583,-418.278,Red (Loss Making)
EA-140353,4285,180.55792,Silver (Low Margin)
CB-125353,2500,-59.32216,Red (Loss Making)
AS-106301,7447,2496.0405,Gold (Profitable)
GD-45902,655,117.69,Silver (Low Margin)
BW-11102,17,7.14,Silver (Low Margin)
VW-217754,6135,-874.6645,Red (Loss Making)
DK-128354,3256,881.1228,Silver (Low Margin)
GZ-145453,2743,805.32440,Silver (Low Margin)
CM-127151,1650,156.495,Silver (Low Margin)
AS-1352,3792,788.10,Silver (Low Margin)
JM-52652,424,161.16,Silver (Low Margin)
CM-118153,3020,-926.648,Red (Loss Making)
DB-35552,840,265.812,Silver (Low Margin)
HD-147851,10484,2700.2832,Gold (Profitable)
BC-111252,6941,1567.041,Gold (Profitable)
BF-112754,791,25.8702,Silver (Low Margin)
MC-175903,3057,357.42168,Silver (Low Margin)
MA-79952,130,30,Silver (Low Margin)
AM-103601,3217,291.9576,Silver (Low Margin)
TH-212351,2484,-166.410,Red (Loss Making)
CC-121004,1771,208.5912,Silver (Low Margin)
MA-179953,1607,-481.57936,Red (Loss Making)
BB-109904,744,11.5839,Silver (Low Margin)
JO-55502,2325,-68.550,Red (Loss Making)
DB-133602,1498,109.428,Silver (Low Margin)
BS-113653,6543,1215.71796,Gold (Profitable)
AS-102852,4997,321.9435,Silver (Low Margin)
NZ-185651,9544,546.60,Silver (Low Margin)
HD-47851,3311,822.528,Silver (Low Margin)
JB-160451,5763,730.0494,Silver (Low Margin)
FH-142751,5052,2082.552,Gold (Profitable)
PA-90601,3223,896.511,Silver (Low Margin)
RF-93453,2506,532.47,Silver (Low Margin)
DS-131801,3598,758.0772,Silver (Low Margin)
CA-120554,1679,211.2559,Silver (Low Margin)
VG-218054,427,-52.3330,Red (Loss Making)
CM-118151,4625,-519.6486,Red (Loss Making)
DS-131804,2882,163.6993,Silver (Low Margin)
RB-197053,1930,239.432,Silver (Low Margin)
RW-195404,7400,1586.6273,Gold (Profitable)
VM-216853,3452,223.84432,Silver (Low Margin)
JC-161051,2239,11.8650,Silver (Low Margin)
MG-76501,302,27.15,Silver (Low Margin)
LW-69902,1696,133.011,Silver (Low Margin)
DK-131504,798,249.9447,Silver (Low Margin)
CB-125351,3987,793.095,Silver (Low Margin)
RR-95252,702,-52.230,Red (Loss Making)
RS-97652,565,137.43,Silver (Low Margin)
KB-164054,909,274.2970,Silver (Low Margin)
BF-110051,14563,2272.4889,Gold (Profitable)
NM-184454,6461,2751.6849,Gold (Profitable)
EB-38402,1444,509.19,Silver (Low Margin)
AM-103602,8940,2375.502,Gold (Profitable)
DK-131502,5970,983.409,Silver (Low Margin)
JC-161052,6355,276.774,Silver (Low Margin)
PC-90001,1040,293.310,Silver (Low Margin)
SN-205604,1861,-716.8565,Red (Loss Making)
VP-217302,2182,424.839,Silver (Low Margin)
CM-118154,1676,214.4630,Silver (Low Margin)
QJ-192552,3314,1275.09,Gold (Profitable)
LO-171702,3470,1171.365,Gold (Profitable)
TW-110251,125,-105.045,Red (Loss Making)
CK-23252,2867,494.01,Silver (Low Margin)
RR-195252,2907,965.034,Silver (Low Margin)
PO-191802,682,27.495,Silver (Low Margin)
NS-86401,694,-43.524,Red (Loss Making)
GH-144854,1362,-95.4498,Red (Loss Making)
KD-164953,1336,-93.572,Red (Loss Making)
LC-69302,1096,-162.261,Red (Loss Making)
NC-186253,1573,258.55208,Silver (Low Margin)
ML-177552,5182,1062.8085,Gold (Profitable)
QJ-192554,6111,1203.6768,Gold (Profitable)
JS-59401,755,91.002,Silver (Low Margin)
GM-44551,207,95.16,Silver (Low Margin)
GH-144853,1509,384.608,Silver (Low Margin)
RM-196754,5978,1902.5438,Gold (Profitable)
SC-202304,4374,440.1410,Silver (Low Margin)
AB-2552,283,57.96,Silver (Low Margin)
NB-86552,303,-113.634,Red (Loss Making)
TS-111601,646,106.44,Silver (Low Margin)
MG-78751,80,15.87,Silver (Low Margin)
MH-181154,5503,170.9746,Silver (Low Margin)
DB-132702,4532,443.6925,Silver (Low Margin)
BW-111104,4752,921.2574,Silver (Low Margin)
HP-148151,1045,112.362,Silver (Low Margin)
SC-206801,8915,858.6420,Silver (Low Margin)
SW-107553,958,182.016,Silver (Low Margin)
JM-156551,5566,1294.1787,Gold (Profitable)
BF-10202,789,-514.944,Red (Loss Making)
PH-187901,3975,824.1573,Silver (Low Margin)
KL-65552,781,111.678,Silver (Low Margin)
CP-123403,5127,143.25328,Silver (Low Margin)
CM-127152,1243,179.6775,Silver (Low Margin)
CK-123253,3713,69.98312,Silver (Low Margin)
GR-145602,2996,249.243,Silver (Low Margin)
BT-113051,2394,-52.221,Red (Loss Making)
PS-189702,4672,769.8315,Silver (Low Margin)
BF-10052,33,-73.587,Red (Loss Making)
RS-94201,331,49.29,Silver (Low Margin)
SP-206201,9224,1482.5217,Gold (Profitable)
JK-61202,875,76.11,Silver (Low Margin)
AH-6902,869,162.78,Silver (Low Margin)
JS-59403,2158,-56.382,Red (Loss Making)
CR-26251,1216,244.911,Silver (Low Margin)
ME-173202,6977,921.846,Silver (Low Margin)
DJ-135104,2502,345.2521,Silver (Low Margin)
RH-195103,1654,355.52496,Silver (Low Margin)
DR-29401,2065,592.656,Silver (Low Margin)
NH-186104,2673,760.1666,Silver (Low Margin)
DM-129552,3887,307.116,Silver (Low Margin)
MM-182803,1429,172.860,Silver (Low Margin)
MC-74252,111,15.54,Silver (Low Margin)
KC-162553,2725,474.752,Silver (Low Margin)
MD-178604,1203,-4.0403,Red (Loss Making)
SZ-100351,409,11.10,Silver (Low Margin)
RS-198702,3208,835.4535,Silver (Low Margin)
HR-147704,1299,185.5794,Silver (Low Margin)
VP-217604,3361,-1018.7768,Red (Loss Making)
ML-80401,1513,470.70,Silver (Low Margin)
EB-138404,4358,656.1988,Silver (Low Margin)
BF-11702,637,255.48,Silver (Low Margin)
KE-64202,51,-50.178,Red (Loss Making)
AO-8102,386,90.21,Silver (Low Margin)
JK-156404,4762,1172.5303,Gold (Profitable)
JG-158054,1507,206.1019,Silver (Low Margin)
TB-211904,816,179.0038,Silver (Low Margin)
ML-177553,404,122.66,Silver (Low Margin)
NP-186851,3851,-260.0577,Red (Loss Making)
GR-45602,483,-158.508,Red (Loss Making)
SM-209503,2966,33.81524,Silver (Low Margin)
FW-143953,3118,422.998,Silver (Low Margin)
EB-38401,9,2.7,Silver (Low Margin)
BS-115901,2791,223.896,Silver (Low Margin)
SC-200504,4626,1011.7443,Gold (Profitable)
KH-163302,1544,352.26,Silver (Low Margin)
RF-193451,4628,326.058,Silver (Low Margin)
BG-116952,662,-351.33,Red (Loss Making)
FC-143351,2788,266.3427,Silver (Low Margin)
CS-118451,16655,2995.5816,Gold (Profitable)
VP-117301,129,-230.070,Red (Loss Making)
CD-127904,1861,403.8422,Silver (Low Margin)
HP-48152,588,120.912,Silver (Low Margin)
AC-104202,1033,214.278,Silver (Low Margin)
JE-161654,2698,789.6476,Silver (Low Margin)
SD-204851,3462,403.2039,Silver (Low Margin)
YC-218953,406,147.24,Silver (Low Margin)
SC-202604,3732,671.0034,Silver (Low Margin)
AD-1801,12,3.45,Silver (Low Margin)
TS-212052,1262,-16.863,Red (Loss Making)
RM-96751,198,96.99,Silver (Low Margin)
DA-34501,1237,361.08,Silver (Low Margin)
BW-111101,12267,315.3345,Silver (Low Margin)
SD-104851,1115,205.911,Silver (Low Margin)
DW-34801,1339,151.776,Silver (Low Margin)
LR-170353,3652,774.78320,Silver (Low Margin)
LC-169603,478,-25.728,Red (Loss Making)
AH-101201,558,28.512,Silver (Low Margin)
CS-121753,602,30.832,Silver (Low Margin)
AS-106302,1455,539.571,Silver (Low Margin)
AR-8251,1704,318.516,Silver (Low Margin)
GH-144103,2856,-587.56752,Red (Loss Making)
DK-132254,4802,209.8994,Silver (Low Margin)
CY-27451,262,-187.626,Red (Loss Making)
BT-13952,244,56.1,Silver (Low Margin)
BB-9901,507,74.13,Silver (Low Margin)
LW-168252,5260,383.70,Silver (Low Margin)
GZ-145451,3355,302.5494,Silver (Low Margin)
VP-217301,5354,949.1886,Silver (Low Margin)
MP-181752,5065,178.7235,Silver (Low Margin)
LW-169904,3232,662.8339,Silver (Low Margin)
MC-174254,4433,1802.3903,Gold (Profitable)
HR-48302,62,-72.372,Red (Loss Making)
EH-37652,405,-425.232,Red (Loss Making)
DJ-34202,158,9.36,Silver (Low Margin)
KB-165852,4440,328.2885,Silver (Low Margin)
HR-47701,1833,158.22,Silver (Low Margin)
GH-144852,7376,741.378,Silver (Low Margin)
CR-126253,2593,198.50528,Silver (Low Margin)
JO-151452,4024,928.908,Silver (Low Margin)
FA-142303,1297,221.064,Silver (Low Margin)
AC-106151,5753,1253.5158,Gold (Profitable)
KF-62852,2808,-653.790,Red (Loss Making)
PH-87901,177,6.54,Silver (Low Margin)
CM-126554,6340,1572.4585,Gold (Profitable)
KB-66002,29,13.17,Silver (Low Margin)
FW-43952,537,-117.279,Red (Loss Making)
SP-208604,4283,566.7226,Silver (Low Margin)
EB-139754,1644,162.8781,Silver (Low Margin)
AS-102253,1031,23.880,Silver (Low Margin)
SW-203503,642,38.02904,Silver (Low Margin)
RP-192701,6542,1098.5217,Gold (Profitable)
TH-211154,2942,-252.5539,Red (Loss Making)
ME-180102,5882,116.1840,Silver (Low Margin)
Dl-136004,756,175.2388,Silver (Low Margin)
KN-67052,4514,691.188,Silver (Low Margin)
KB-162403,2661,489.500,Silver (Low Margin)
PM-191352,1315,268.23,Silver (Low Margin)
LD-168551,1475,258.3741,Silver (Low Margin)
MP-181751,9796,-526.3767,Red (Loss Making)
CH-120702,6312,1169.6040,Gold (Profitable)
