"location_key","city","state","country","region","market"
Khenifra-Meknès-Tafilalet-Morocco,Khenifra,Meknès-Tafilalet,Morocco,Africa,Africa
Tauranga-Bay of Plenty-New Zealand,Tauranga,Bay of Plenty,New Zealand,Oceania,APAC
Lawrence-Massachusetts-United States,Lawrence,Massachusetts,United States,East,US
Grasse-Provence-Alpes-Côte d'Azur-France,Grasse,Provence-Alpes-Côte d'Azur,France,Central,EU
Cambridge-England-United Kingdom,Cambridge,England,United Kingdom,North,EU
Halesowen-England-United Kingdom,Halesowen,England,United Kingdom,North,EU
Carrara-Tuscany-Italy,Carrara,Tuscany,Italy,South,EU
Lorca-Murcia-Spain,Lorca,Murcia,Spain,South,EU
Lancaster-Pennsylvania-United States,Lancaster,Pennsylvania,United States,East,US
Carapicuíba-São Paulo-Brazil,Carapicuíba,São Paulo,Brazil,South,LATAM
Novara-Piedmont-Italy,Novara,Piedmont,Italy,South,EU
Mishawaka-Indiana-United States,Mishawaka,Indiana,United States,Central,US
Danville-Illinois-United States,Danville,Illinois,United States,Central,US
Nijmegen-Gelderland-Netherlands,Nijmegen,Gelderland,Netherlands,Central,EU
Hilden-North Rhine-Westphalia-Germany,Hilden,North Rhine-Westphalia,Germany,Central,EU
Osijek-Osjecko-Baranjska-Croatia,Osijek,Osjecko-Baranjska,Croatia,EMEA,EMEA
Benoni-Gauteng-South Africa,Benoni,Gauteng,South Africa,Africa,Africa
Gilbert-Arizona-United States,Gilbert,Arizona,United States,West,US
Prato-Tuscany-Italy,Prato,Tuscany,Italy,South,EU
Fujisawa-Kanagawa-Japan,Fujisawa,Kanagawa,Japan,North Asia,APAC
Missouri City-Texas-United States,Missouri City,Texas,United States,Central,US
Serra-Espírito Santo-Brazil,Serra,Espírito Santo,Brazil,South,LATAM
Manukau City-Auckland-New Zealand,Manukau City,Auckland,New Zealand,Oceania,APAC
Felahiye-Kayseri-Turkey,Felahiye,Kayseri,Turkey,EMEA,EMEA
Euskirchen-North Rhine-Westphalia-Germany,Euskirchen,North Rhine-Westphalia,Germany,Central,EU
Kartal-Istanbul-Turkey,Kartal,Istanbul,Turkey,EMEA,EMEA
Xianning-Hubei-China,Xianning,Hubei,China,North Asia,APAC
Elbasan-Elbasan-Albania,Elbasan,Elbasan,Albania,EMEA,EMEA
Kasama-Northern-Zambia,Kasama,Northern,Zambia,Africa,Africa
Adiyaman-Adiyaman-Turkey,Adiyaman,Adiyaman,Turkey,EMEA,EMEA
Minna-Niger-Nigeria,Minna,Niger,Nigeria,Africa,Africa
Sogamoso-Boyacá-Colombia,Sogamoso,Boyacá,Colombia,South,LATAM
Monroe-North Carolina-United States,Monroe,North Carolina,United States,South,US
Usti nad Labem-Usti nad Labem-Czech Republic,Usti nad Labem,Usti nad Labem,Czech Republic,EMEA,EMEA
Dakar-Dakar-Senegal,Dakar,Dakar,Senegal,Africa,Africa
Oceanside-California-United States,Oceanside,California,United States,West,US
Ceyhan-Adana-Turkey,Ceyhan,Adana,Turkey,EMEA,EMEA
Leshan-Sichuan-China,Leshan,Sichuan,China,North Asia,APAC
Ragusa-Sicily-Italy,Ragusa,Sicily,Italy,South,EU
Ikot Ekpene-Akwa Ibom-Nigeria,Ikot Ekpene,Akwa Ibom,Nigeria,Africa,Africa
Salto-São Paulo-Brazil,Salto,São Paulo,Brazil,South,LATAM
Le Creusot-Burgundy-France,Le Creusot,Burgundy,France,Central,EU
Kigali-Kigali-Rwanda,Kigali,Kigali,Rwanda,Africa,Africa
Lons-le-Saunier-Franche-Comté-France,Lons-le-Saunier,Franche-Comté,France,Central,EU
Noblesville-Indiana-United States,Noblesville,Indiana,United States,Central,US
Aalen-Baden-Württemberg-Germany,Aalen,Baden-Württemberg,Germany,Central,EU
Cachan-Ile-de-France-France,Cachan,Ile-de-France,France,Central,EU
Kigoma-Kigoma-Tanzania,Kigoma,Kigoma,Tanzania,Africa,Africa
Porto Alegre-Rio Grande do Sul-Brazil,Porto Alegre,Rio Grande do Sul,Brazil,South,LATAM
Toronto-Ontario-Canada,Toronto,Ontario,Canada,Canada,Canada
Phnom Penh-Phnom Penh-Cambodia,Phnom Penh,Phnom Penh,Cambodia,Southeast Asia,APAC
Severodvinsk-Arkhangel'sk-Russia,Severodvinsk,Arkhangel'sk,Russia,EMEA,EMEA
Linhares-Espírito Santo-Brazil,Linhares,Espírito Santo,Brazil,South,LATAM
Dole-Franche-Comté-France,Dole,Franche-Comté,France,Central,EU
Ayacucho-Ayacucho-Peru,Ayacucho,Ayacucho,Peru,South,LATAM
Jinan-Shandong-China,Jinan,Shandong,China,North Asia,APAC
Douai-Nord-Pas-de-Calais-France,Douai,Nord-Pas-de-Calais,France,Central,EU
Owensboro-Kentucky-United States,Owensboro,Kentucky,United States,South,US
Zlatoust-Chelyabinsk-Russia,Zlatoust,Chelyabinsk,Russia,EMEA,EMEA
Olympia-Washington-United States,Olympia,Washington,United States,West,US
Allentown-Pennsylvania-United States,Allentown,Pennsylvania,United States,East,US
Castellammare di Stabia-Campania-Italy,Castellammare di Stabia,Campania,Italy,South,EU
Namibe-Namibe-Angola,Namibe,Namibe,Angola,Africa,Africa
Le Blanc-Mesnil-Ile-de-France-France,Le Blanc-Mesnil,Ile-de-France,France,Central,EU
Bossier City-Louisiana-United States,Bossier City,Louisiana,United States,South,US
Biarritz-Aquitaine-France,Biarritz,Aquitaine,France,Central,EU
Roosendaal-North Brabant-Netherlands,Roosendaal,North Brabant,Netherlands,Central,EU
Irbid-Irbid-Jordan,Irbid,Irbid,Jordan,EMEA,EMEA
Jurema-Pernambuco-Brazil,Jurema,Pernambuco,Brazil,South,LATAM
Santa Barbara-California-United States,Santa Barbara,California,United States,West,US
Caraguatatuba-São Paulo-Brazil,Caraguatatuba,São Paulo,Brazil,South,LATAM
Obninsk-Kaluga-Russia,Obninsk,Kaluga,Russia,EMEA,EMEA
Poços de Caldas-Minas Gerais-Brazil,Poços de Caldas,Minas Gerais,Brazil,South,LATAM
Linz-Upper Austria-Austria,Linz,Upper Austria,Austria,Central,EU
Vigevano-Lombardy-Italy,Vigevano,Lombardy,Italy,South,EU
Kherson-Kherson-Ukraine,Kherson,Kherson,Ukraine,EMEA,EMEA
Plaisir-Ile-de-France-France,Plaisir,Ile-de-France,France,Central,EU
Bamberg-Bavaria-Germany,Bamberg,Bavaria,Germany,Central,EU
Prague-Prague-Czech Republic,Prague,Prague,Czech Republic,EMEA,EMEA
Rambouillet-Ile-de-France-France,Rambouillet,Ile-de-France,France,Central,EU
Richmond-Indiana-United States,Richmond,Indiana,United States,Central,US
Asahikawa-Hokkaido-Japan,Asahikawa,Hokkaido,Japan,North Asia,APAC
Burnley-England-United Kingdom,Burnley,England,United Kingdom,North,EU
Alcobendas-Madrid-Spain,Alcobendas,Madrid,Spain,South,EU
Hubli-Karnataka-India,Hubli,Karnataka,India,Central Asia,APAC
Villiers-le-Bel-Ile-de-France-France,Villiers-le-Bel,Ile-de-France,France,Central,EU
Esenyurt-Istanbul-Turkey,Esenyurt,Istanbul,Turkey,EMEA,EMEA
Patiala-Punjab-India,Patiala,Punjab,India,Central Asia,APAC
Pemba-Cabo Delgado-Mozambique,Pemba,Cabo Delgado,Mozambique,Africa,Africa
San Lorenzo-Central-Paraguay,San Lorenzo,Central,Paraguay,South,LATAM
Lichinga-Niassa-Mozambique,Lichinga,Niassa,Mozambique,Africa,Africa
Pekalongan-Jawa Tengah-Indonesia,Pekalongan,Jawa Tengah,Indonesia,Southeast Asia,APAC
Tremblay-en-France-Ile-de-France-France,Tremblay-en-France,Ile-de-France,France,Central,EU
Barneveld-Gelderland-Netherlands,Barneveld,Gelderland,Netherlands,Central,EU
Halmstad-Halland-Sweden,Halmstad,Halland,Sweden,North,EU
Gitarama-Southern-Rwanda,Gitarama,Southern,Rwanda,Africa,Africa
Zwolle-Overijssel-Netherlands,Zwolle,Overijssel,Netherlands,Central,EU
Yao-Osaka-Japan,Yao,Osaka,Japan,North Asia,APAC
Shizuishan-Ningxia-China,Shizuishan,Ningxia,China,North Asia,APAC
Oceanside-New York-United States,Oceanside,New York,United States,East,US
Xinxiang-Henan-China,Xinxiang,Henan,China,North Asia,APAC
Dnipropetrovs'k-Dnipropetrovs'k-Ukraine,Dnipropetrovs'k,Dnipropetrovs'k,Ukraine,EMEA,EMEA
Ziguinchor-Ziguinchor-Senegal,Ziguinchor,Ziguinchor,Senegal,Africa,Africa
Parbhani-Maharashtra-India,Parbhani,Maharashtra,India,Central Asia,APAC
Cabimas-Zulia-Venezuela,Cabimas,Zulia,Venezuela,South,LATAM
Agadir-Souss-Massa-Draâ-Morocco,Agadir,Souss-Massa-Draâ,Morocco,Africa,Africa
Wodonga-Victoria-Australia,Wodonga,Victoria,Australia,Oceania,APAC
San Justo-Santa Fe-Argentina,San Justo,Santa Fe,Argentina,South,LATAM
Kayes-Kayes-Mali,Kayes,Kayes,Mali,Africa,Africa
Gaziantep-Gaziantep-Turkey,Gaziantep,Gaziantep,Turkey,EMEA,EMEA
Araranguá-Santa Catarina-Brazil,Araranguá,Santa Catarina,Brazil,South,LATAM
Yunyang-Henan-China,Yunyang,Henan,China,North Asia,APAC
Vadodara-Gujarat-India,Vadodara,Gujarat,India,Central Asia,APAC
Le Plessis-Robinson-Ile-de-France-France,Le Plessis-Robinson,Ile-de-France,France,Central,EU
Revere-Massachusetts-United States,Revere,Massachusetts,United States,East,US
Vila Nova de Gaia-Porto-Portugal,Vila Nova de Gaia,Porto,Portugal,South,EU
Pelotas-Rio Grande do Sul-Brazil,Pelotas,Rio Grande do Sul,Brazil,South,LATAM
Shahjahanpur-Uttar Pradesh-India,Shahjahanpur,Uttar Pradesh,India,Central Asia,APAC
Stavanger-Rogaland-Norway,Stavanger,Rogaland,Norway,North,EU
Medan-Sumatera Utara-Indonesia,Medan,Sumatera Utara,Indonesia,Southeast Asia,APAC
Rio Rancho-New Mexico-United States,Rio Rancho,New Mexico,United States,West,US
Warangal-Telangana-India,Warangal,Telangana,India,Central Asia,APAC
Villenave-d'Ornon-Aquitaine-France,Villenave-d'Ornon,Aquitaine,France,Central,EU
Jamshedpur-Jharkhand-India,Jamshedpur,Jharkhand,India,Central Asia,APAC
Manizales-Caldas-Colombia,Manizales,Caldas,Colombia,South,LATAM
Danville-California-United States,Danville,California,United States,West,US
Xiaogan-Hubei-China,Xiaogan,Hubei,China,North Asia,APAC
Ploiesti-Prahova-Romania,Ploiesti,Prahova,Romania,EMEA,EMEA
Handan-Hebei-China,Handan,Hebei,China,North Asia,APAC
Newcastle-Kwazulu-natal-South Africa,Newcastle,Kwazulu-natal,South Africa,Africa,Africa
El Escorial-Madrid-Spain,El Escorial,Madrid,Spain,South,EU
Moca-Espaillat-Dominican Republic,Moca,Espaillat,Dominican Republic,Caribbean,LATAM
Batna-Batna-Algeria,Batna,Batna,Algeria,Africa,Africa
Rehovot-Central-Israel,Rehovot,Central,Israel,EMEA,EMEA
Trapani-Sicily-Italy,Trapani,Sicily,Italy,South,EU
Tirupati-Andhra Pradesh-India,Tirupati,Andhra Pradesh,India,Central Asia,APAC
Kremenchuk-Poltava-Ukraine,Kremenchuk,Poltava,Ukraine,EMEA,EMEA
Yuci-Shanxi-China,Yuci,Shanxi,China,North Asia,APAC
Chandigarh-Chandigarh-India,Chandigarh,Chandigarh,India,Central Asia,APAC
Thonon-les-Bains-Rhône-Alpes-France,Thonon-les-Bains,Rhône-Alpes,France,Central,EU
Udaipur-Tripura-India,Udaipur,Tripura,India,Central Asia,APAC
Givors-Rhône-Alpes-France,Givors,Rhône-Alpes,France,Central,EU
Guarulhos-São Paulo-Brazil,Guarulhos,São Paulo,Brazil,South,LATAM
Ulm-Baden-Württemberg-Germany,Ulm,Baden-Württemberg,Germany,Central,EU
Gosport-England-United Kingdom,Gosport,England,United Kingdom,North,EU
Quevedo-Los Rios-Ecuador,Quevedo,Los Rios,Ecuador,South,LATAM
Nieuwegein-Utrecht-Netherlands,Nieuwegein,Utrecht,Netherlands,Central,EU
Holyoke-Massachusetts-United States,Holyoke,Massachusetts,United States,East,US
Kalush-Ivano-Frankivsk-Ukraine,Kalush,Ivano-Frankivsk,Ukraine,EMEA,EMEA
Laval-Quebec-Canada,Laval,Quebec,Canada,Canada,Canada
Pistoia-Tuscany-Italy,Pistoia,Tuscany,Italy,South,EU
Tongchuan-Sichuan-China,Tongchuan,Sichuan,China,North Asia,APAC
Saint-Priest-Rhône-Alpes-France,Saint-Priest,Rhône-Alpes,France,Central,EU
Gap-Provence-Alpes-Côte d'Azur-France,Gap,Provence-Alpes-Côte d'Azur,France,Central,EU
Widnes-England-United Kingdom,Widnes,England,United Kingdom,North,EU
Taytay-Calabarzon-Philippines,Taytay,Calabarzon,Philippines,Southeast Asia,APAC
Yogyakarta-Yogyakarta-Indonesia,Yogyakarta,Yogyakarta,Indonesia,Southeast Asia,APAC
Coppell-Texas-United States,Coppell,Texas,United States,Central,US
Mufulira-Copperbelt-Zambia,Mufulira,Copperbelt,Zambia,Africa,Africa
Vaughan-Ontario-Canada,Vaughan,Ontario,Canada,Canada,Canada
Shangqiu-Henan-China,Shangqiu,Henan,China,North Asia,APAC
Araguaína-Tocantins-Brazil,Araguaína,Tocantins,Brazil,South,LATAM
Mersin-Mersin-Turkey,Mersin,Mersin,Turkey,EMEA,EMEA
Saumur-Pays de la Loire-France,Saumur,Pays de la Loire,France,Central,EU
Nuevo Laredo-Tamaulipas-Mexico,Nuevo Laredo,Tamaulipas,Mexico,North,LATAM
Pestovo-Novgorod-Russia,Pestovo,Novgorod,Russia,EMEA,EMEA
Cambé-Parana-Brazil,Cambé,Parana,Brazil,South,LATAM
Asheville-North Carolina-United States,Asheville,North Carolina,United States,South,US
Sabadell-Catalonia-Spain,Sabadell,Catalonia,Spain,South,EU
Apartadó-Antioquia-Colombia,Apartadó,Antioquia,Colombia,South,LATAM
Balikesir-Balikesir-Turkey,Balikesir,Balikesir,Turkey,EMEA,EMEA
Vertou-Pays de la Loire-France,Vertou,Pays de la Loire,France,Central,EU
Kayseri-Kayseri-Turkey,Kayseri,Kayseri,Turkey,EMEA,EMEA
Broken Hill-New South Wales-Australia,Broken Hill,New South Wales,Australia,Oceania,APAC
Chilpancingo-Guerrero-Mexico,Chilpancingo,Guerrero,Mexico,North,LATAM
Saint-Dizier-Champagne-Ardenne-France,Saint-Dizier,Champagne-Ardenne,France,Central,EU
Ichalkaranji-Maharashtra-India,Ichalkaranji,Maharashtra,India,Central Asia,APAC
Amarillo-Texas-United States,Amarillo,Texas,United States,Central,US
Modesto-California-United States,Modesto,California,United States,West,US
Aberdeen-Scotland-United Kingdom,Aberdeen,Scotland,United Kingdom,North,EU
Cedar Hill-Texas-United States,Cedar Hill,Texas,United States,Central,US
Nakhon Ratchasima-Nakhon Ratchasima-Thailand,Nakhon Ratchasima,Nakhon Ratchasima,Thailand,Southeast Asia,APAC
Gandia-Valenciana-Spain,Gandia,Valenciana,Spain,South,EU
Irkutsk-Irkutsk-Russia,Irkutsk,Irkutsk,Russia,EMEA,EMEA
Arkhangelsk-Arkhangel'sk-Russia,Arkhangelsk,Arkhangel'sk,Russia,EMEA,EMEA
Adana-Adana-Turkey,Adana,Adana,Turkey,EMEA,EMEA
Richmond-Virginia-United States,Richmond,Virginia,United States,South,US
Como-Lombardy-Italy,Como,Lombardy,Italy,South,EU
Burgos-Castile and León-Spain,Burgos,Castile and León,Spain,South,EU
Jodhpur-Rajasthan-India,Jodhpur,Rajasthan,India,Central Asia,APAC
Sousa-Paraíba-Brazil,Sousa,Paraíba,Brazil,South,LATAM
Saint-Pol-sur-Mer-Nord-Pas-de-Calais-France,Saint-Pol-sur-Mer,Nord-Pas-de-Calais,France,Central,EU
Darbhanga-Bihar-India,Darbhanga,Bihar,India,Central Asia,APAC
Plovdiv-Plovdiv-Bulgaria,Plovdiv,Plovdiv,Bulgaria,EMEA,EMEA
Bandung-Jawa Barat-Indonesia,Bandung,Jawa Barat,Indonesia,Southeast Asia,APAC
Dearborn Heights-Michigan-United States,Dearborn Heights,Michigan,United States,Central,US
Fortaleza-Ceará-Brazil,Fortaleza,Ceará,Brazil,South,LATAM
San Marcos-Texas-United States,San Marcos,Texas,United States,Central,US
Unna-North Rhine-Westphalia-Germany,Unna,North Rhine-Westphalia,Germany,Central,EU
Guyancourt-Ile-de-France-France,Guyancourt,Ile-de-France,France,Central,EU
Bellingham-Washington-United States,Bellingham,Washington,United States,West,US
Czestochowa-Silesia-Poland,Czestochowa,Silesia,Poland,EMEA,EMEA
Quimper-Brittany-France,Quimper,Brittany,France,Central,EU
Guntur-Andhra Pradesh-India,Guntur,Andhra Pradesh,India,Central Asia,APAC
San Cristóbal-Táchira-Venezuela,San Cristóbal,Táchira,Venezuela,South,LATAM
Vigo-Galicia-Spain,Vigo,Galicia,Spain,South,EU
Franconville-Ile-de-France-France,Franconville,Ile-de-France,France,Central,EU
Taverny-Ile-de-France-France,Taverny,Ile-de-France,France,Central,EU
Ambattur-Tamil Nadu-India,Ambattur,Tamil Nadu,India,Central Asia,APAC
Richmond-Kentucky-United States,Richmond,Kentucky,United States,South,US
Cagliari-Sardinia-Italy,Cagliari,Sardinia,Italy,South,EU
Kota-Chhattisgarh-India,Kota,Chhattisgarh,India,Central Asia,APAC
Aligarh-Uttar Pradesh-India,Aligarh,Uttar Pradesh,India,Central Asia,APAC
Lorient-Brittany-France,Lorient,Brittany,France,Central,EU
Kerpen-North Rhine-Westphalia-Germany,Kerpen,North Rhine-Westphalia,Germany,Central,EU
Alexandria-Al Iskandariyah-Egypt,Alexandria,Al Iskandariyah,Egypt,Africa,Africa
Capelle aan den IJssel-South Holland-Netherlands,Capelle aan den IJssel,South Holland,Netherlands,Central,EU
Altamira-Pará-Brazil,Altamira,Pará,Brazil,South,LATAM
Jamestown-New York-United States,Jamestown,New York,United States,East,US
Pilar-Alagoas-Brazil,Pilar,Alagoas,Brazil,South,LATAM
Apeldoorn-Gelderland-Netherlands,Apeldoorn,Gelderland,Netherlands,Central,EU
Pernik-Pernik-Bulgaria,Pernik,Pernik,Bulgaria,EMEA,EMEA
Srinagar-Jammu and Kashmir-India,Srinagar,Jammu and Kashmir,India,Central Asia,APAC
Quetzaltenango-Quezaltenango-Guatemala,Quetzaltenango,Quezaltenango,Guatemala,Central,LATAM
Quito-Pichincha-Ecuador,Quito,Pichincha,Ecuador,South,LATAM
Vratsa-Vratsa-Bulgaria,Vratsa,Vratsa,Bulgaria,EMEA,EMEA
Mixco-Guatemala-Guatemala,Mixco,Guatemala,Guatemala,Central,LATAM
Natal-Rio Grande do Norte-Brazil,Natal,Rio Grande do Norte,Brazil,South,LATAM
Heze-Shandong-China,Heze,Shandong,China,North Asia,APAC
Savigny-le-Temple-Ile-de-France-France,Savigny-le-Temple,Ile-de-France,France,Central,EU
Paraparaumu-Wellington-New Zealand,Paraparaumu,Wellington,New Zealand,Oceania,APAC
Kaduna-Kaduna-Nigeria,Kaduna,Kaduna,Nigeria,Africa,Africa
Middletown-Connecticut-United States,Middletown,Connecticut,United States,East,US
Mabopane-Gauteng-South Africa,Mabopane,Gauteng,South Africa,Africa,Africa
Suffolk-Virginia-United States,Suffolk,Virginia,United States,South,US
Ibb-Ibb-Yemen,Ibb,Ibb,Yemen,EMEA,EMEA
Copiapó-Atacama-Chile,Copiapó,Atacama,Chile,South,LATAM
Annecy-Rhône-Alpes-France,Annecy,Rhône-Alpes,France,Central,EU
Tahta-Suhaj-Egypt,Tahta,Suhaj,Egypt,Africa,Africa
Bobigny-Ile-de-France-France,Bobigny,Ile-de-France,France,Central,EU
Chimoio-Manica-Mozambique,Chimoio,Manica,Mozambique,Africa,Africa
Fayetteville-Arkansas-United States,Fayetteville,Arkansas,United States,South,US
Rancho Cucamonga-California-United States,Rancho Cucamonga,California,United States,West,US
Santiago de los Caballeros-Santiago-Dominican Republic,Santiago de los Caballeros,Santiago,Dominican Republic,Caribbean,LATAM
Normal-Illinois-United States,Normal,Illinois,United States,Central,US
Jingdezhen-Jiangxi-China,Jingdezhen,Jiangxi,China,North Asia,APAC
Comodoro Rivadavia-Chubut-Argentina,Comodoro Rivadavia,Chubut,Argentina,South,LATAM
Hildesheim-Lower Saxony-Germany,Hildesheim,Lower Saxony,Germany,Central,EU
Woodland-California-United States,Woodland,California,United States,West,US
Oakland-California-United States,Oakland,California,United States,West,US
Letchworth-England-United Kingdom,Letchworth,England,United Kingdom,North,EU
Chalinze-Pwani-Tanzania,Chalinze,Pwani,Tanzania,Africa,Africa
Gusau-Zamfara-Nigeria,Gusau,Zamfara,Nigeria,Africa,Africa
Kankan-Kankan-Guinea,Kankan,Kankan,Guinea,Africa,Africa
Le Chesnay-Ile-de-France-France,Le Chesnay,Ile-de-France,France,Central,EU
Longueuil-Quebec-Canada,Longueuil,Quebec,Canada,Canada,Canada
Warner Robins-Georgia-United States,Warner Robins,Georgia,United States,South,US
Mwanza-Mwanza-Tanzania,Mwanza,Mwanza,Tanzania,Africa,Africa
Rugby-England-United Kingdom,Rugby,England,United Kingdom,North,EU
Fontainebleau-Ile-de-France-France,Fontainebleau,Ile-de-France,France,Central,EU
Mataram-Nusa Tenggara Barat-Indonesia,Mataram,Nusa Tenggara Barat,Indonesia,Southeast Asia,APAC
Vijayawada-Andhra Pradesh-India,Vijayawada,Andhra Pradesh,India,Central Asia,APAC
Aprilia-Lazio-Italy,Aprilia,Lazio,Italy,South,EU
Guatemala City-Guatemala-Guatemala,Guatemala City,Guatemala,Guatemala,Central,LATAM
Genoa-Liguria-Italy,Genoa,Liguria,Italy,South,EU
Mardin-Mardin-Turkey,Mardin,Mardin,Turkey,EMEA,EMEA
Jalna-Maharashtra-India,Jalna,Maharashtra,India,Central Asia,APAC
Soma-Manisa-Turkey,Soma,Manisa,Turkey,EMEA,EMEA
Gothenburg-Västra Götaland-Sweden,Gothenburg,Västra Götaland,Sweden,North,EU
Toulouse-Midi-Pyrénées-France,Toulouse,Midi-Pyrénées,France,Central,EU
Chapel Hill-North Carolina-United States,Chapel Hill,North Carolina,United States,South,US
Cagua-Aragua-Venezuela,Cagua,Aragua,Venezuela,South,LATAM
Quetta-Baluchistan-Pakistan,Quetta,Baluchistan,Pakistan,Central Asia,APAC
Xinzhou-Hubei-China,Xinzhou,Hubei,China,North Asia,APAC
Smyrna-Tennessee-United States,Smyrna,Tennessee,United States,South,US
Reus-Catalonia-Spain,Reus,Catalonia,Spain,South,EU
Noisy-le-Sec-Ile-de-France-France,Noisy-le-Sec,Ile-de-France,France,Central,EU
Frankfort-Illinois-United States,Frankfort,Illinois,United States,Central,US
Garland-Texas-United States,Garland,Texas,United States,Central,US
Pamplona-Navarra-Spain,Pamplona,Navarra,Spain,South,EU
Pimpri-Maharashtra-India,Pimpri,Maharashtra,India,Central Asia,APAC
Bergamo-Lombardy-Italy,Bergamo,Lombardy,Italy,South,EU
Vlore-Vlorë-Albania,Vlore,Vlorë,Albania,EMEA,EMEA
Sonneberg-Thuringia-Germany,Sonneberg,Thuringia,Germany,Central,EU
Neiva-Huila-Colombia,Neiva,Huila,Colombia,South,LATAM
São Vicente-São Paulo-Brazil,São Vicente,São Paulo,Brazil,South,LATAM
Kamina-Katanga-Democratic Republic of the Congo,Kamina,Katanga,Democratic Republic of the Congo,Africa,Africa
Espoo-Uusimaa-Finland,Espoo,Uusimaa,Finland,North,EU
Suzhou-Jiangsu-China,Suzhou,Jiangsu,China,North Asia,APAC
Mason-Ohio-United States,Mason,Ohio,United States,East,US
Santa Cruz de Barahona-Barahona-Dominican Republic,Santa Cruz de Barahona,Barahona,Dominican Republic,Caribbean,LATAM
Sibiu-Sibiu-Romania,Sibiu,Sibiu,Romania,EMEA,EMEA
Chongqing-Chongqing-China,Chongqing,Chongqing,China,North Asia,APAC
Salvador-Bahia-Brazil,Salvador,Bahia,Brazil,South,LATAM
Recklinghausen-North Rhine-Westphalia-Germany,Recklinghausen,North Rhine-Westphalia,Germany,Central,EU
Kilwinning-Scotland-United Kingdom,Kilwinning,Scotland,United Kingdom,North,EU
Los Ángeles-Biobio-Chile,Los Ángeles,Biobio,Chile,South,LATAM
Fuji-Shizuoka-Japan,Fuji,Shizuoka,Japan,North Asia,APAC
Balneário Camboriú-Santa Catarina-Brazil,Balneário Camboriú,Santa Catarina,Brazil,South,LATAM
Jiangyan-Jiangsu-China,Jiangyan,Jiangsu,China,North Asia,APAC
Maroua-Extreme-Nord-Cameroon,Maroua,Extreme-Nord,Cameroon,Africa,Africa
Luoyang-Henan-China,Luoyang,Henan,China,North Asia,APAC
Obregón-Sonora-Mexico,Obregón,Sonora,Mexico,North,LATAM
Warwick-Rhode Island-United States,Warwick,Rhode Island,United States,East,US
Apple Valley-Minnesota-United States,Apple Valley,Minnesota,United States,Central,US
Concord-New Hampshire-United States,Concord,New Hampshire,United States,East,US
Muret-Midi-Pyrénées-France,Muret,Midi-Pyrénées,France,Central,EU
Uberaba-Minas Gerais-Brazil,Uberaba,Minas Gerais,Brazil,South,LATAM
Barueri-São Paulo-Brazil,Barueri,São Paulo,Brazil,South,LATAM
Columbia-Missouri-United States,Columbia,Missouri,United States,Central,US
Avon-Ile-de-France-France,Avon,Ile-de-France,France,Central,EU
Hargeysa-Woqooyi Galbeed-Somalia,Hargeysa,Woqooyi Galbeed,Somalia,Africa,Africa
Semarang-Jawa Tengah-Indonesia,Semarang,Jawa Tengah,Indonesia,Southeast Asia,APAC
Madrid-Madrid-Spain,Madrid,Madrid,Spain,South,EU
Massa-Tuscany-Italy,Massa,Tuscany,Italy,South,EU
Bergen op Zoom-North Brabant-Netherlands,Bergen op Zoom,North Brabant,Netherlands,Central,EU
Alphen aan den Rijn-South Holland-Netherlands,Alphen aan den Rijn,South Holland,Netherlands,Central,EU
