"product_id","category","sub_category","product_name"
OFF-CAR-10000319,Office Supplies,Binders,"Cardinal Binder Covers, Recycled"
TEC-PH-10003784,Technology,Phones,"Motorola Signal Booster, Full Size"
TEC-CO-10002423,Technology,Copiers,"Canon Personal Copier, High-Speed"
OFF-JIF-10002621,Office Supplies,Envelopes,"Jiffy Business Envelopes, Security-Tint"
OFF-LA-10001246,Office Supplies,Labels,"Avery Removable Labels, Alphabetical"
FUR-FU-10001933,Furniture,Furnishings,"Deflect-O Door Stop, Duo Pack"
FUR-BO-10001822,Furniture,Bookcases,"Dania Library with Doors, Metal"
OFF-PA-10004734,Office Supplies,Paper,Southworth Structures Collection
TEC-AC-10003159,Technology,Accessories,"SanDisk Router, USB"
OFF-BI-10004589,Office Supplies,Binders,"Avery Binding Machine, Economy"
FUR-CH-10000852,Furniture,Chairs,"Novimex Chairmat, Set of Two"
FUR-FU-10003462,Furniture,Furnishings,"Rubbermaid Photo Frame, Black"
TEC-AC-10000857,Technology,Accessories,"Belkin Router, Programmable"
TEC-MA-10003400,Technology,Machines,"Panasonic Printer, Durable"
TEC-AC-10002884,Technology,Accessories,"Belkin Keyboard, USB"
OFF-EN-10003511,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Security-Tint"
OFF-LA-10004848,Office Supplies,Labels,"Avery Legal Exhibit Labels, 5000 Label Set"
TEC-CO-10000854,Technology,Copiers,"Canon Personal Copier, Color"
OFF-PA-10004815,Office Supplies,Paper,"Xerox Note Cards, Premium"
OFF-AR-10002499,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Easy-Erase"
OFF-AP-10000509,Office Supplies,Appliances,"Hoover Refrigerator, Black"
OFF-AR-10000740,Office Supplies,Art,"Binney & Smith Pens, Easy-Erase"
OFF-ACM-10000476,Office Supplies,Supplies,"Acme Letter Opener, Easy Grip"
OFF-KLE-10001381,Office Supplies,Supplies,"Kleencut Scissors, Easy Grip"
OFF-ST-10004496,Office Supplies,Storage,"Tenex Box, Blue"
OFF-EN-10001454,Office Supplies,Envelopes,"Cameo Manila Envelope, with clear poly window"
TEC-STA-10002459,Technology,Machines,"StarTech Printer, Durable"
FUR-CH-10003861,Furniture,Chairs,"Novimex Rocking Chair, Set of Two"
TEC-MA-10004486,Technology,Machines,"StarTech Phone, Red"
OFF-AP-10002128,Office Supplies,Appliances,"Hoover Blender, Black"
OFF-EN-10004309,Office Supplies,Envelopes,"GlobeWeis Business Envelopes, Recycled"
OFF-EN-10001327,Office Supplies,Envelopes,"Cameo Interoffice Envelope, Security-Tint"
OFF-OIC-10003978,Office Supplies,Fasteners,"OIC Staples, Assorted Sizes"
FUR-BO-10000596,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile"
OFF-LA-10001634,Office Supplies,Labels,"Harbour Creations Color Coded Labels, Laser Printer Compatible"
OFF-ST-10004326,Office Supplies,Storage,"Rogers Box, Single Width"
OFF-LA-10004094,Office Supplies,Labels,"Avery Removable Labels, 5000 Label Set"
TEC-CO-10004306,Technology,Copiers,"HP Copy Machine, Color"
OFF-BI-10003031,Office Supplies,Binders,"Acco Index Tab, Economy"
OFF-BOS-10001386,Office Supplies,Art,"Boston Sketch Pad, Water Color"
TEC-MA-10003121,Technology,Machines,"StarTech Card Printer, Wireless"
FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair
OFF-BI-10000335,Office Supplies,Binders,"Cardinal 3-Hole Punch, Durable"
FUR-ADV-10003147,Furniture,Furnishings,"Advantus Stacking Tray, Erganomic"
FUR-BO-10004704,Furniture,Bookcases,"Bush Corner Shelving, Pine"
OFF-SU-10003343,Office Supplies,Supplies,"Kleencut Shears, Steel"
OFF-SU-10004299,Office Supplies,Supplies,"Stiletto Trimmer, High Speed"
TEC-PH-10000347,Technology,Phones,"Cisco Speaker Phone, VoIP"
OFF-BRE-10000157,Office Supplies,Appliances,"Breville Toaster, Red"
FUR-FU-10004458,Furniture,Furnishings,"Rubbermaid Door Stop, Black"
FUR-BUS-10002138,Furniture,Bookcases,"Bush Stackable Bookrack, Pine"
OFF-ADV-10004875,Office Supplies,Fasteners,"Advantus Staples, Bulk Pack"
OFF-SU-10000649,Office Supplies,Supplies,"Fiskars Box Cutter, High Speed"
OFF-FA-10000010,Office Supplies,Fasteners,"OIC Staples, Metal"
OFF-WIL-10003532,Office Supplies,Binders,"Wilson Jones Binding Machine, Economy"
TEC-PH-10002085,Technology,Phones,Clarity 53712
OFF-LA-10003594,Office Supplies,Labels,"Hon Removable Labels, Adjustable"
TEC-PAN-10000391,Technology,Machines,"Panasonic Printer, Red"
OFF-BI-10002510,Office Supplies,Binders,"Acco Index Tab, Clear"
TEC-MA-10000875,Technology,Machines,"Okidata Inkjet, Wireless"
FUR-DAN-10002017,Furniture,Bookcases,"Dania Classic Bookcase, Traditional"
FUR-ELD-10000857,Furniture,Furnishings,"Eldon Door Stop, Erganomic"
TEC-PH-10000100,Technology,Phones,"Motorola Office Telephone, Full Size"
TEC-PH-10002645,Technology,Phones,LG G2
TEC-CO-10004404,Technology,Copiers,"Brother Copy Machine, High-Speed"
OFF-PA-10004069,Office Supplies,Paper,"SanDisk Parchment Paper, 8.5 x 11"
TEC-CO-10000243,Technology,Copiers,"Canon Fax and Copier, Digital"
FUR-BO-10004388,Furniture,Bookcases,"Ikea Library with Doors, Metal"
TEC-EPS-10004171,Technology,Machines,"Epson Calculator, Red"
FUR-SAF-10000949,Furniture,Bookcases,"Safco Floating Shelf Set, Pine"
TEC-AC-10003217,Technology,Accessories,"Enermax Keyboard, USB"
OFF-BOS-10002558,Office Supplies,Art,"Boston Pencil Sharpener, Easy-Erase"
OFF-FA-10004968,Office Supplies,Fasteners,Rubber Band Ball
TEC-MA-10000868,Technology,Machines,"Panasonic Phone, Wireless"
OFF-BI-10002570,Office Supplies,Binders,"Cardinal 3-Hole Punch, Clear"
OFF-SU-10001968,Office Supplies,Supplies,"Kleencut Letter Opener, Easy Grip"
TEC-BRO-10000374,Technology,Copiers,"Brother Ink, Laser"
FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
OFF-LA-10003459,Office Supplies,Labels,"Avery Removable Labels, Laser Printer Compatible"
OFF-FA-10003059,Office Supplies,Fasteners,Assorted Color Push Pins
OFF-SU-10003267,Office Supplies,Supplies,"Stiletto Scissors, Easy Grip"
FUR-BO-10001476,Furniture,Bookcases,"Safco Corner Shelving, Pine"
OFF-AR-10000953,Office Supplies,Art,"Stanley Pencil Sharpener, Easy-Erase"
FUR-RUB-10001094,Furniture,Furnishings,"Rubbermaid Door Stop, Duo Pack"
OFF-ST-10003147,Office Supplies,Storage,"Tenex Box, Blue"
OFF-EN-10000353,Office Supplies,Envelopes,"Jiffy Mailers, with clear poly window"
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine"
OFF-PA-10002352,Office Supplies,Paper,"Eaton Parchment Paper, Premium"
TEC-AC-10004051,Technology,Accessories,"Enermax Flash Drive, Programmable"
OFF-SU-10000979,Office Supplies,Supplies,"Acme Letter Opener, Easy Grip"
OFF-FA-10001229,Office Supplies,Fasteners,Staples
OFF-BI-10004624,Office Supplies,Binders,"Wilson Jones Binder, Durable"
OFF-FA-10000122,Office Supplies,Fasteners,"Advantus Paper Clips, Assorted Sizes"
TEC-MA-10002989,Technology,Machines,"Panasonic Printer, White"
FUR-TA-10000323,Furniture,Tables,"Lesro Round Table, Fully Assembled"
TEC-AC-10000057,Technology,Accessories,Microsoft Natural Ergonomic Keyboard 4000
OFF-AP-10000604,Office Supplies,Appliances,"Hamilton Beach Coffee Grinder, Black"
TEC-AC-10000742,Technology,Accessories,"SanDisk Flash Drive, Erganomic"
OFF-FA-10003020,Office Supplies,Fasteners,"Accos Paper Clips, Bulk Pack"
OFF-ST-10000327,Office Supplies,Storage,"Smead Folders, Wire Frame"
OFF-EN-10004580,Office Supplies,Envelopes,"Cameo Interoffice Envelope, with clear poly window"
OFF-EN-10003979,Office Supplies,Envelopes,"Kraft Clasp Envelope, with clear poly window"
OFF-PA-10003416,Office Supplies,Paper,"Green Bar Parchment Paper, Recycled"
OFF-ST-10001554,Office Supplies,Storage,"Eldon Folders, Industrial"
OFF-BI-10000328,Office Supplies,Binders,"Acco Binding Machine, Clear"
OFF-BI-10001135,Office Supplies,Binders,"Avery Hole Reinforcements, Durable"
TEC-AC-10000860,Technology,Accessories,"Enermax Numeric Keypad, USB"
OFF-LA-10004132,Office Supplies,Labels,"Smead Color Coded Labels, Alphabetical"
FUR-BO-10004129,Furniture,Bookcases,"Sauder Classic Bookcase, Pine"
OFF-TEN-10002065,Office Supplies,Storage,"Tenex Shelving, Industrial"
OFF-AP-10001124,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection
OFF-BI-10003963,Office Supplies,Binders,Cardinal Holdit Data Disk Pockets
OFF-PA-10002606,Office Supplies,Paper,Xerox 1928
OFF-ST-10000486,Office Supplies,Storage,"Rogers Trays, Industrial"
TEC-CO-10003019,Technology,Copiers,"Brother Fax Machine, High-Speed"
OFF-ST-10002460,Office Supplies,Storage,"Rogers Shelving, Single Width"
OFF-ENE-10002784,Office Supplies,Paper,"Enermax Parchment Paper, Multicolor"
OFF-PA-10001661,Office Supplies,Paper,Xerox 1922
OFF-PA-10000809,Office Supplies,Paper,Xerox 206
FUR-CH-10004993,Furniture,Chairs,"Hon Swivel Stool, Black"
TEC-PH-10001725,Technology,Phones,"Motorola Speaker Phone, Cordless"
OFF-BRE-10000391,Office Supplies,Appliances,"Breville Toaster, Black"
TEC-PH-10002601,Technology,Phones,"Motorola Smart Phone, Cordless"
OFF-PA-10002370,Office Supplies,Paper,"Xerox Parchment Paper, Recycled"
OFF-FA-10002791,Office Supplies,Fasteners,"OIC Push Pins, Assorted Sizes"
OFF-HON-10000137,Office Supplies,Labels,"Hon Round Labels, Laser Printer Compatible"
TEC-HEW-10001558,Technology,Copiers,"Hewlett Personal Copier, High-Speed"
OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder
OFF-ST-10004947,Office Supplies,Storage,"Fellowes File Cart, Industrial"
OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
OFF-AP-10000647,Office Supplies,Appliances,"Hoover Refrigerator, White"
TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System
FUR-BO-10000425,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional"
TEC-SHA-10004874,Technology,Copiers,"Sharp Fax Machine, High-Speed"
OFF-LA-10004007,Office Supplies,Labels,"Harbour Creations Color Coded Labels, Adjustable"
OFF-SME-10004553,Office Supplies,Storage,"Smead Lockers, Blue"
OFF-BI-10001808,Office Supplies,Binders,"Ibico Index Tab, Clear"
OFF-PA-10001736,Office Supplies,Paper,Xerox 1880
TEC-PH-10002817,Technology,Phones,RCA ViSYS 25425RE1 Corded phone
OFF-FA-10002444,Office Supplies,Fasteners,"Stockwell Clamps, 12 Pack"
FUR-DEF-10004141,Furniture,Furnishings,"Deflect-O Photo Frame, Durable"
TEC-MA-10002210,Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop
FUR-FU-10001495,Furniture,Furnishings,"Eldon Door Stop, Durable"
OFF-SU-10002732,Office Supplies,Supplies,"Acme Box Cutter, High Speed"
OFF-AR-10001336,Office Supplies,Art,"Binney & Smith Pens, Blue"
TEC-CO-10000119,Technology,Copiers,"HP Fax Machine, Color"
TEC-AC-10004379,Technology,Accessories,"Memorex Flash Drive, Bluetooth"
OFF-PA-10004411,Office Supplies,Paper,"Xerox Memo Slips, Multicolor"
OFF-SU-10001086,Office Supplies,Supplies,"Fiskars Scissors, Easy Grip"
OFF-AR-10004780,Office Supplies,Art,"Stanley Markers, Blue"
OFF-FA-10002061,Office Supplies,Fasteners,"Accos Paper Clips, Bulk Pack"
FUR-BO-10002300,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Mobile"
OFF-PA-10004285,Office Supplies,Paper,Xerox 1959
OFF-PA-10004996,Office Supplies,Paper,"Speediset Carbonless Redi-Letter 7"" x 8 1/2"""
OFF-SU-10003332,Office Supplies,Supplies,"Elite Letter Opener, Steel"
TEC-HP -10004971,Technology,Copiers,"HP Wireless Fax, Color"
OFF-SU-10001586,Office Supplies,Supplies,"Kleencut Trimmer, Steel"
OFF-EN-10002096,Office Supplies,Envelopes,"GlobeWeis Mailers, Recycled"
TEC-AC-10002545,Technology,Accessories,"Logitech Router, Bluetooth"
TEC-MA-10002155,Technology,Machines,"Panasonic Receipt Printer, Durable"
OFF-BI-10002459,Office Supplies,Binders,"Cardinal Binding Machine, Recycled"
TEC-PH-10004732,Technology,Phones,"Cisco Office Telephone, Cordless"
OFF-NOV-10004680,Office Supplies,Labels,"Novimex Shipping Labels, Laser Printer Compatible"
OFF-HON-10000966,Office Supplies,Labels,"Hon Round Labels, Alphabetical"
OFF-FA-10004813,Office Supplies,Fasteners,"Stockwell Rubber Bands, Bulk Pack"
TEC-CIS-10003017,Technology,Phones,"Cisco Signal Booster, with Caller ID"
OFF-LA-10003923,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing
OFF-AP-10001882,Office Supplies,Appliances,"Breville Coffee Grinder, Silver"
TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier
FUR-CH-10003833,Furniture,Chairs,Novimex Fabric Task Chair
TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C
OFF-HOO-10001987,Office Supplies,Appliances,"Hoover Coffee Grinder, Red"
OFF-BI-10004651,Office Supplies,Binders,"Cardinal Binding Machine, Clear"
TEC-PH-10002565,Technology,Phones,"Apple Audio Dock, with Caller ID"
OFF-GRE-10003943,Office Supplies,Paper,"Green Bar Message Books, Multicolor"
TEC-SAM-10003538,Technology,Phones,"Samsung Speaker Phone, Full Size"
OFF-ST-10000464,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins"
OFF-GLO-10004123,Office Supplies,Envelopes,"GlobeWeis Business Envelopes, Security-Tint"
OFF-FIS-10001797,Office Supplies,Supplies,"Fiskars Trimmer, Steel"
FUR-TA-10000688,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base"
OFF-ELI-10003911,Office Supplies,Supplies,"Elite Shears, Serrated"
TEC-SAN-10002254,Technology,Accessories,"SanDisk Mouse, USB"
OFF-BIN-10000561,Office Supplies,Art,"Binney & Smith Highlighters, Fluorescent"
TEC-AC-10003044,Technology,Accessories,"Belkin Numeric Keypad, Erganomic"
OFF-BI-10000822,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11"""
TEC-AC-10003422,Technology,Accessories,"Enermax Keyboard, Programmable"
TEC-PH-10004910,Technology,Phones,"Samsung Signal Booster, Full Size"
OFF-EN-10004296,Office Supplies,Envelopes,"GlobeWeis Mailers, Security-Tint"
OFF-HOO-10000445,Office Supplies,Appliances,"Hoover Refrigerator, Black"
FUR-FU-10000944,Furniture,Furnishings,"Tenex Door Stop, Black"
TEC-NOK-10000534,Technology,Phones,"Nokia Smart Phone, with Caller ID"
FUR-TA-10000304,Furniture,Tables,"Barricks Training Table, with Bottom Storage"
OFF-PA-10001497,Office Supplies,Paper,Xerox 1914
OFF-PA-10000731,Office Supplies,Paper,"Enermax Parchment Paper, 8.5 x 11"
OFF-HOO-10001783,Office Supplies,Appliances,"Hoover Microwave, Red"
FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack"
OFF-NOV-10000141,Office Supplies,Labels,"Novimex Round Labels, 5000 Label Set"
OFF-BI-10002632,Office Supplies,Binders,"Acco Binding Machine, Recycled"
OFF-AR-10001461,Office Supplies,Art,"BIC Canvas, Water Color"
OFF-ST-10003990,Office Supplies,Storage,"Smead Folders, Single Width"
OFF-FA-10000294,Office Supplies,Fasteners,"Advantus Clamps, Metal"
OFF-EN-10003080,Office Supplies,Envelopes,"Kraft Peel and Seal, Security-Tint"
OFF-AR-10003688,Office Supplies,Art,"Sanford Canvas, Blue"
TEC-PH-10001535,Technology,Phones,"Nokia Speaker Phone, Cordless"
TEC-AC-10000474,Technology,Accessories,Kensington Expert Mouse Optical USB Trackball for PC or Mac
OFF-FA-10004920,Office Supplies,Fasteners,"Accos Rubber Bands, Metal"
OFF-FA-10002066,Office Supplies,Fasteners,"OIC Clamps, Bulk Pack"
OFF-SU-10002816,Office Supplies,Supplies,"Kleencut Shears, Serrated"
OFF-SU-10001686,Office Supplies,Supplies,"Kleencut Trimmer, Easy Grip"
FUR-CH-10000857,Furniture,Chairs,"Harbour Creations Rocking Chair, Black"
FUR-FU-10004422,Furniture,Furnishings,"Advantus Photo Frame, Erganomic"
OFF-FA-10001877,Office Supplies,Fasteners,"Accos Thumb Tacks, Bulk Pack"
FUR-BO-10002632,Furniture,Bookcases,"Sauder Corner Shelving, Pine"
OFF-LA-10002964,Office Supplies,Labels,"Harbour Creations Shipping Labels, 5000 Label Set"
FUR-TA-10001089,Furniture,Tables,"Hon Computer Table, with Bottom Storage"
FUR-BO-10002990,Furniture,Bookcases,"Dania Library with Doors, Traditional"
OFF-AP-10001621,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Black"
OFF-AR-10004691,Office Supplies,Art,Boston 1730 StandUp Electric Pencil Sharpener
OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit
OFF-LA-10002674,Office Supplies,Labels,"Harbour Creations Color Coded Labels, 5000 Label Set"
OFF-BIC-10003654,Office Supplies,Art,"BIC Pens, Blue"
TEC-HEW-10001056,Technology,Copiers,"Hewlett Ink, High-Speed"
OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders
OFF-STI-10002262,Office Supplies,Supplies,"Stiletto Box Cutter, High Speed"
OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
FUR-TA-10002411,Furniture,Tables,"Hon Round Table, with Bottom Storage"
FUR-RUB-10002817,Furniture,Furnishings,"Rubbermaid Door Stop, Durable"
OFF-PA-10004673,Office Supplies,Paper,"Green Bar Memo Slips, Recycled"
TEC-MA-10002864,Technology,Machines,"Panasonic Card Printer, Durable"
TEC-PH-10004667,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System
FUR-FU-10003623,Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,"
TEC-PH-10003405,Technology,Phones,"Apple Office Telephone, Full Size"
OFF-AP-10001197,Office Supplies,Appliances,"KitchenAid Stove, Red"
OFF-PA-10004990,Office Supplies,Paper,"SanDisk Computer Printout Paper, Recycled"
TEC-NOK-10001172,Technology,Phones,"Nokia Speaker Phone, VoIP"
TEC-MA-10000327,Technology,Machines,"Epson Phone, Durable"
OFF-AP-10001058,Office Supplies,Appliances,"Cuisinart Microwave, White"
FUR-CH-10004478,Furniture,Chairs,"Hon Steel Folding Chair, Adjustable"
OFF-AR-10002340,Office Supplies,Art,"Stanley Markers, Water Color"
OFF-AR-10000150,Office Supplies,Art,"Boston Pens, Water Color"
OFF-ST-10001776,Office Supplies,Storage,"Eldon Trays, Wire Frame"
OFF-PA-10002421,Office Supplies,Paper,Embossed Ink Jet Note Cards
FUR-TA-10001642,Furniture,Tables,"Lesro Round Table, Rectangular"
OFF-PA-10004842,Office Supplies,Paper,"SanDisk Message Books, Recycled"
OFF-AR-10001573,Office Supplies,Art,American Pencil
FUR-FU-10003419,Furniture,Furnishings,"Eldon Clock, Erganomic"
OFF-EN-10000328,Office Supplies,Envelopes,"Kraft Business Envelopes, Set of 50"
OFF-AP-10003497,Office Supplies,Appliances,"KitchenAid Microwave, Red"
FUR-TA-10001549,Furniture,Tables,"Barricks Coffee Table, Rectangular"
FUR-CH-10003155,Furniture,Chairs,"Harbour Creations Bag Chairs, Red"
OFF-PA-10004613,Office Supplies,Paper,"Green Bar Note Cards, Premium"
OFF-HON-10003230,Office Supplies,Labels,"Hon Removable Labels, Adjustable"
FUR-FU-10004748,Furniture,Furnishings,"Howard Miller 16"" Diameter Gallery Wall Clock"
OFF-SU-10004661,Office Supplies,Supplies,Acme Titanium Bonded Scissors
OFF-SU-10004888,Office Supplies,Supplies,"Stiletto Shears, Steel"
OFF-ROG-10001818,Office Supplies,Storage,"Rogers Folders, Single Width"
OFF-LA-10001658,Office Supplies,Labels,"Avery Round Labels, 5000 Label Set"
TEC-MA-10003492,Technology,Machines,"Okidata Printer, Wireless"
FUR-CH-10002555,Furniture,Chairs,"Novimex Rocking Chair, Black"
TEC-PH-10003055,Technology,Phones,"Apple Audio Dock, Cordless"
OFF-ADV-10000425,Office Supplies,Fasteners,"Advantus Clamps, Metal"
OFF-HOO-10002920,Office Supplies,Appliances,"Hoover Stove, Black"
FUR-FU-10002829,Furniture,Furnishings,"Deflect-O Clock, Black"
OFF-ST-10004160,Office Supplies,Storage,"Tenex Trays, Wire Frame"
OFF-LA-10001188,Office Supplies,Labels,"Novimex Shipping Labels, Adjustable"
OFF-PA-10003699,Office Supplies,Paper,"SanDisk Parchment Paper, Recycled"
OFF-FA-10004626,Office Supplies,Fasteners,"Advantus Staples, Assorted Sizes"
FUR-FU-10000946,Furniture,Furnishings,"Advantus Stacking Tray, Durable"
OFF-LA-10003617,Office Supplies,Labels,"Smead Legal Exhibit Labels, Adjustable"
OFF-BIC-10004976,Office Supplies,Art,"BIC Markers, Water Color"
FUR-FU-10000640,Furniture,Furnishings,"Tenex Light Bulb, Duo Pack"
OFF-BI-10004986,Office Supplies,Binders,"Ibico 3-Hole Punch, Recycled"
OFF-AR-10002706,Office Supplies,Art,"Stanley Canvas, Fluorescent"
OFF-LA-10000658,Office Supplies,Labels,"Avery Shipping Labels, 5000 Label Set"
OFF-SU-10004662,Office Supplies,Supplies,"Fiskars Trimmer, Easy Grip"
OFF-ST-10003056,Office Supplies,Storage,"Tenex Folders, Single Width"
OFF-AP-10003021,Office Supplies,Appliances,"Breville Stove, White"
